Nome;Idade (dias);PRs;Releases;Última Atualização (dias);Linguagem;Fechamento de Issues (%)
Apollo-11;3978;341;0;0;Assembly;85.04%
awesome-scalability;2614;36;0;0;N/A;N/A
cs-self-learning;1221;269;4;0;HTML;51.58%
atom;4782;3937;538;0;JavaScript;94.37%
lodash;4704;581;2;0;JavaScript;98.42%
architect-awesome;2514;49;0;0;N/A;30.99%
Front-end-Developer-Interview-Questions;4761;484;0;0;Nunjucks;80.68%
design-resources-for-developers;1753;939;0;0;N/A;100.00%
markdown-here;4668;25;14;0;JavaScript;51.12%
awesome-nodejs;3879;414;0;0;N/A;98.04%
jquery;5804;784;10;0;JavaScript;96.63%
awesome-courses;3752;194;0;0;N/A;48.75%
new-pac;3258;0;0;0;Python;75.35%
angular.js;5526;789;0;0;JavaScript;95.67%
annotated_deep_learning_paper_implementations;1642;102;0;0;Python;77.78%
immich;1115;5528;233;0;TypeScript;90.85%
shadowsocks-windows;4422;290;55;0;C#;93.87%
docusaurus;2804;5342;149;0;TypeScript;91.10%
open-interpreter;589;367;48;0;Python;79.12%
act;2243;1004;82;0;Go;83.88%
localsend;799;650;24;0;Dart;50.25%
fuel-core;1639;1374;113;0;Rust;85.66%
localstack;3041;5722;88;0;Python;95.42%
alacritty;3292;1860;101;0;Rust;94.72%
llama;739;54;0;0;Python;60.58%
spring-framework;5190;851;324;0;Java;99.01%
prometheus;4473;7128;327;0;Go;91.08%
lazygit;2471;1491;158;0;Go;64.94%
html5-boilerplate;5508;773;34;0;JavaScript;99.56%
rustlings;3448;904;45;0;Rust;95.15%
rails;6161;24690;145;0;Ruby;97.18%
nerd-fonts;3732;521;37;0;CSS;98.55%
nuxt;3041;6150;234;0;TypeScript;94.60%
lobe-chat;643;1799;1000;0;TypeScript;83.31%
gatsby;3564;18147;149;0;JavaScript;98.53%
DeepLearning-500-questions;2432;302;0;0;JavaScript;42.41%
private-gpt;662;226;10;0;Python;80.08%
leetcode;2521;257;40;0;JavaScript;96.50%
you-get;4569;582;123;0;Python;N/A
awesome-flutter;2848;444;0;0;Dart;N/A
zed;1463;10957;728;0;Rust;73.92%
ghidra;2185;496;42;0;Java;71.94%
awesome-chatgpt-prompts-zh;803;33;0;0;N/A;60.42%
scrapy;5479;2253;39;0;Python;85.89%
element;3094;3231;145;0;Vue;85.63%
face_recognition;2912;94;2;0;Python;43.90%
react-router;3934;2736;293;0;TypeScript;97.38%
leetcode-master;1897;2290;0;0;Shell;25.70%
tldr;4094;12922;5;0;Markdown;87.49%
ChatGPT;808;123;34;0;Rust;31.00%
git;6058;3;0;0;C;N/A
Real-Time-Voice-Cloning;2099;48;0;0;Python;81.80%
Prompt-Engineering-Guide;799;302;0;0;MDX;33.82%
traefik;3450;4493;459;0;Go;89.96%
faceswap;2622;357;4;0;Python;96.68%
gpt-engineer;665;351;20;0;Python;96.11%
normalize.css;5043;56;0;0;CSS;90.04%
weekly;2324;93;0;0;N/A;15.94%
drawio-desktop;2829;20;150;0;JavaScript;94.64%
openpilot;3012;10884;55;0;Python;96.22%
requests;5123;1567;12;0;Python;95.29%
yolov5;1741;2178;10;0;Python;97.84%
mkcert;2434;52;14;0;Go;70.29%
nocodb;2673;4390;162;0;TypeScript;83.95%
Stirling-PDF;757;1473;112;0;Java;82.01%
hackingtool;1778;55;0;0;Python;87.36%
awesome-android-ui;3713;90;0;0;N/A;85.32%
ionic-framework;4203;6041;889;0;TypeScript;97.56%
bat;2499;1387;41;0;Rust;79.46%
Semantic-UI;4337;357;154;0;JavaScript;84.49%
material-design-icons;3790;48;16;0;N/A;77.16%
project-layout;2723;91;0;0;Makefile;40.00%
Magisk;3089;1532;143;0;C++;99.49%
anime;3267;72;15;0;JavaScript;70.69%
rich;1931;806;168;0;Python;85.63%
guava;3922;827;48;0;Java;82.50%
pi-hole;3912;1976;110;0;Shell;98.90%
ripgrep;3270;510;72;0;Rust;92.95%
zustand;2146;743;92;0;TypeScript;99.56%
minio;3692;9753;510;0;Go;99.69%
grok-1;342;5;0;0;Python;63.64%
kotlin;4758;2063;248;0;Kotlin;N/A
prettier;3007;8465;123;0;JavaScript;82.50%
uBlock;3615;247;273;0;JavaScript;99.65%
pdf.js;5051;7776;70;0;JavaScript;96.18%
Docker-OSX;1724;105;0;0;Shell;42.57%
github-cheat-sheet;3969;129;0;0;N/A;68.57%
jekyll;5969;3178;112;0;Ruby;97.82%
bulma;3317;638;21;0;CSS;88.34%
dive;2477;141;26;0;Go;49.55%
meilisearch;2497;1927;240;0;Rust;91.38%
astro;1440;6835;1000;0;TypeScript;97.19%
DefinitelyTyped;4523;51045;1;0;TypeScript;93.02%
langflow;744;3371;249;0;Python;84.58%
segment-anything;702;16;0;0;Jupyter Notebook;25.07%
rclone;3996;2010;108;0;Go;83.29%
core;2447;2959;238;0;TypeScript;88.25%
awesome-rust;3873;1478;0;0;Rust;92.65%
trackerslist;3226;1;0;0;N/A;98.49%
chinese-poetry;3095;135;1;0;JavaScript;44.39%
marktext;2659;939;36;0;JavaScript;57.42%
Ghost;4312;12272;845;0;JavaScript;99.36%
etcd;4248;9191;243;0;Go;95.78%
go-ethereum;4076;7779;207;0;Go;97.69%
awesome-ios;3880;2233;0;0;Swift;100.00%
cypress;3643;6630;358;0;TypeScript;90.59%
moment;5107;714;0;0;JavaScript;94.39%
clash-verge-rev;459;135;42;0;TypeScript;92.46%
RxJava;4428;3292;235;0;Java;99.65%
powerlevel10k;2190;167;33;0;Shell;96.72%
hacker-scripts;3381;63;0;0;JavaScript;59.77%
FFmpeg;5063;16;0;0;C;N/A
joplin;2958;3830;369;0;TypeScript;93.00%
mastodon;3288;16594;262;0;Ruby;66.97%
hiring-without-whiteboards;2901;1297;0;0;JavaScript;N/A
dayjs;2510;695;119;0;JavaScript;48.95%
OpenHands;346;3438;42;0;Python;89.27%
appwrite;2147;3325;104;0;TypeScript;84.91%
professional-programming;3395;38;0;0;Python;100.00%
gitea;3035;16982;205;0;Go;82.04%
starship;2153;2784;134;0;Rust;72.35%
ImHex;1565;594;76;0;C++;83.86%
algorithm-visualizer;3205;183;0;0;JavaScript;65.79%
MetaGPT;603;646;21;0;Python;93.11%
big-list-of-naughty-strings;3485;90;0;0;Python;31.68%
first-contributions;3077;79694;0;0;N/A;96.73%
llm-course;615;1;0;0;Jupyter Notebook;36.49%
awesome-wechat-weapp;3075;277;0;0;N/A;N/A
Motrix;2258;192;21;0;JavaScript;44.45%
PaddleOCR;1751;2596;16;0;Python;99.71%
serverless;3595;4721;431;0;JavaScript;82.50%
PowerShell;3327;7284;181;0;C#;92.20%
alist;1522;778;124;0;Go;90.89%
100-Days-Of-ML-Code;2424;6;0;0;N/A;N/A
julia;5056;24930;171;0;Julia;83.85%
okhttp;4597;3517;0;0;Kotlin;96.48%
design-patterns-for-humans;2927;50;0;0;N/A;90.38%
react;2457;370;0;0;JavaScript;98.15%
learn-regex;2772;124;0;0;N/A;40.70%
AFFiNE;937;6413;423;0;TypeScript;85.95%
Projects;4251;19;0;0;N/A;44.59%
v2ray-core;3459;203;247;0;Go;99.69%
